Value,Feature,importance,Min,Max,Scaler
535,DP_DL,0.11542610571736785,0.008845738942826321,0.11542610571736785,1
390,RNAPKplex_141alt,0.08414239482200647,0.008845738942826321,0.11542610571736785,0.706477733
321,MMS_efficiency,0.06925566343042071,0.008845738942826321,0.11542610571736785,0.566801619
309,MMS_delta_logit_psi,0.06666666666666667,0.008845738942826321,0.11542610571736785,0.542510121
286,DS_DG,0.06170442286947141,0.008845738942826321,0.11542610571736785,0.495951417
251,DAC_Shift (RNA).lag3_diff,0.05415318230852211,0.008845738942826321,0.11542610571736785,0.425101215
247,ASDC_TA_alt,0.05329018338727077,0.008845738942826321,0.11542610571736785,0.417004049
188,CCGR270_ref,0.040560949298813376,0.008845738942826321,0.11542610571736785,0.29757085
188,DS_DL,0.040560949298813376,0.008845738942826321,0.11542610571736785,0.29757085
179,MMS_alt_donor,0.038619201725997844,0.008845738942826321,0.11542610571736785,0.279352227
166,ASDC_CG_diff,0.03581445523193096,0.008845738942826321,0.11542610571736785,0.253036437
149,PseKNC_GAA_ref,0.03214670981661273,0.008845738942826321,0.11542610571736785,0.218623482
140,PseKNC_TAT_diff,0.030204962243797196,0.008845738942826321,0.11542610571736785,0.200404858
134,Zcurve12_T.z_alt,0.02891046386192017,0.008845738942826321,0.11542610571736785,0.188259109
124,Moran_Roll (RNA).lag3_diff,0.0267529665587918,0.008845738942826321,0.11542610571736785,0.168016194
120,MMI_TTT_diff,0.025889967637540454,0.008845738942826321,0.11542610571736785,0.159919028
118,SCPseDNC_lamada_16_ref,0.02545846817691478,0.008845738942826321,0.11542610571736785,0.155870445
117,PseKNC_GCG_ref,0.02524271844660194,0.008845738942826321,0.11542610571736785,0.153846154
116,SCPseDNC_lamada_14_alt,0.025026968716289105,0.008845738942826321,0.11542610571736785,0.151821862
103,MMI_ACT_diff,0.022222222222222223,0.008845738942826321,0.11542610571736785,0.125506073
93,SCPseDNC_lamada_17_alt,0.020064724919093852,0.008845738942826321,0.11542610571736785,0.105263158
77,SCPseDNC_lamada_5_alt,0.016612729234088457,0.008845738942826321,0.11542610571736785,0.072874494
72,ASDC_CC_diff,0.015533980582524271,0.008845738942826321,0.11542610571736785,0.062753036
63,GCUG_diff,0.013592233009708738,0.008845738942826321,0.11542610571736785,0.044534413
60,CCGR157_ref,0.012944983818770227,0.008845738942826321,0.11542610571736785,0.038461538
48,CCU(usg)_alt,0.010355987055016181,0.008845738942826321,0.11542610571736785,0.01417004
41,CCGR263_ref,0.008845738942826321,0.008845738942826321,0.11542610571736785,0
